CLIENT_ID,CUST_ID,CUST_NAME,CLIENT_NAME,CLIENT_ACT,CLIENT_LOC,PVRC_CODE,LOB,PARENT_NBR,PLAN_ID,ISO_COUNTRY_CODE,ISO_COUNTRY_DES,EMPLOYER_ASSIGNED_ID,MEMBER_ID,SUBSCRIBER_ID,MEMBER_RELN,EMP_STATUS,DOB,GENDER,FIRST_NAME,MIDDLE_NAME,LAST_NAME,ADDR_TYPE_DES,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY,STATE,ZIP,PRIMARY_PHONE,EMAIL_ADDRESS,MBI,INSURANCE_NAME,INSURANCE_TYPE,EFF_DATE,TERM_DATE,INSURANCE_IND,POLICY_ID,CONSENT,CONDITION,SUP_INFO,TARGET_FLAG,EFID
1,1,AO Smith Corporation,AO Smith Corporation,0,0,8832,0,0,0,0,0,8832,8831,8831,8832,8829,8832,8832,8832,2090,8832,8832,8832,700,8832,8832,8832,4731,4487,258,8832,8050,8832,8832,841,8832,4488,0,0,0,8831
1011,1383,Hussmann International Inc,Hussmann International Inc,0,0,444,0,0,0,0,0,444,444,444,444,444,444,444,444,216,444,444,444,54,444,444,444,360,241,36,444,444,444,444,105,444,241,0,0,0,444
1034,1404,Itochu International Inc,Itochu International Inc,0,0,1004,0,0,0,0,0,1004,1004,1004,1004,1001,1004,1004,1004,225,1004,1004,1004,220,1004,1004,1004,161,527,46,1004,1004,1004,1004,103,1004,527,0,0,0,1004
1058,1430,School District U-46,School District U-46,0,0,9327,0,0,0,0,0,9327,9327,9327,9327,9296,9327,9327,9327,6589,9327,9327,9327,439,9327,9327,9327,9249,4778,222,9327,9327,9327,9327,828,9327,4778,0,0,0,9327
1093,1466,American Greetings Corporation,American Greetings Corporation,0,0,3278,0,0,0,0,0,3278,3278,3278,3278,3278,3278,3278,3278,2570,3278,3278,3278,147,3278,3278,3278,2415,1989,125,3278,3278,3278,3278,238,3278,1989,0,0,0,3278
11,13,Genuine Parts Company,Genuine Parts Company,0,0,6973,0,0,0,0,0,6973,6973,6973,6973,6970,6973,6973,6973,3383,6973,6973,6973,493,6973,6973,6973,5727,4133,346,6973,6973,6973,6973,628,6973,4134,0,0,0,6973
1106,42087,Franklin County,Franklin County Board of Commissioners,0,0,13880,0,0,0,0,0,13880,13880,13880,13880,13877,13880,13880,13880,11771,13880,13880,13880,982,13880,13880,13880,11700,7140,421,13880,13880,13880,13880,1439,13880,7140,0,0,0,13880
111,119,Corning Incorporated,Corning Incorporated,0,0,28074,0,0,0,0,0,28074,28074,28074,28074,28066,28074,28074,28074,20930,28074,28074,28074,1878,28074,28074,28074,13314,16015,819,28074,28074,28074,28074,2504,28074,16015,0,0,0,28074
111,42364,Corning Incorporated NON-UHC,Corning Incorporated,0,0,0,0,0,0,0,0,2223,2223,2223,2223,2023,2223,2223,2223,1486,2223,2222,2222,146,2222,2222,2222,1497,2057,0,0,2223,2223,2223,0,2223,2057,0,0,0,2223
111,49236,Corning Incorporated NON-UHC - Cigna,Corning Incorporated,0,0,0,0,0,0,0,0,56,56,56,56,56,56,56,56,21,56,56,56,6,56,56,56,15,32,0,0,56,56,56,0,56,32,0,0,0,56
